PIR4A_repeat_chain	PIR4B_repeat_chain	PIR4C_repeat_chain	PIR4D_repeat_chain
MLT1A0, L1MCa	L1MEc		L1MB8
MLT1A0, L1MCa	L1MEb		L1MB8
L1MCa, MLT1A0, L1MCa	L1MEc		L1MB7
MLT1A0, L1MCa	L1MEb		L1MB7
L1MCa, MLT1A0, L1MCa	L1MEb		L1MB7
MLT1A0, L1MCa	L1MEb		L1MB7
MLT1A0, L1MCa	L1MEc		AT_rich
MLT1A0, L1MEf	L1MEc		AT_rich
MLT1A0, L1MCa	L1MEb		AT_rich
L1MB4	L1MEc		AT_rich
L1MCa, MLT1A0, L1MCa	L1MEc		AT_rich
L1MB4	L1MEc		AT_rich
L1MB4	L1MEf		L1MB5
L1MB4	L1MEb		L1MB7
L1M4b, AluY	L1MEc		L1MB7
L1M4b, AluY	L1MEc		L1M4
L1M4b, AluY	L1MEf		AT_rich
L1M4b, AluY	L1MEb		L1M4
L1M4b, AluY	LTR48		L1MB7
L1M4b, AluY	MSTB1		AT_rich
L1M4b, AluY	AluSz, MSTB		L1MB7
L1M4b, AluY	MSTB		L1MB7
L1M4b, AluY	MSTB1		L1MB7
L1M4b, AluY	MSTB		L1MB7
L1M4b, AluY	MSTB1		L1MB7
L1M4b, AluY	MSTB1		L1MB7
L1M4b, AluY	MSTB		L1MB7
L1M4b, AluY	MSTB1		L1MB7
L1M4b, AluY	L1MCa, MSTB1		L1MB7
AluY	MSTB1		L1MB8
L1M4b, AluY	LTR16E2, MSTB		L1MB8
L1M4b, (TTA)n, AluY			L1MB7
AluY, AluYk4, AluY			L1MB7
L1M4b, AluY			L1MB7
AluY			L1MB7
L1M4b, AluY			L1MB7
L1M4b, AluY			L1MB7
AluY			L1MA8, L1M4
AluY			AT_rich, ALR/Alpha
AluSx, AluY, AluSx, Charlie1b			L1M4
			L1MB8
			L1MB7
			L1M4
			L1MB7
			L1MB7
			L1MB5
			L1MB8
			L1MB8
			L1MB5
			L1MB7
			L1M4
			L1M4
			L1MB7
			L1MB8
			L1MB7
			L1M4
			L1MB7
			L1M4
			L1MB8
